,product url,ranking,brand,product name,number of ratings,size,star rating,price(in dollar),color,hardware interface,compatible devices,connectivity technology,connector type,data transfer rate,mounting type,special features,date first available
10,https://www.amazon.com/-/zh/dp/B0BTD871Y3/ref=zg_bs_g_pc_d_sccl_11/141-8579742-5590635?psc=1,#11,Selore&S-Global,"USB C 扩展坞双 HDMI 显示器,USB C 转双 HDMI 适配器,带 2 个 HDMI 端口,PD 充电,SD / TF,USB A&C 3.0 端口,USB C 集线器 HDMI 适用于 Dell XPS/HP/Lenovo/Surface/Yoga 等","18,936",Size data not available,,39.99,太空灰,USB,,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,快速充电,Date first available data not available
11,https://www.amazon.com/-/zh/dp/B09688VRYZ/ref=zg_bs_g_pc_d_sccl_12/141-8579742-5590635?psc=1,#12,SLE-TECH,"通用 Chromebook 充电器 USB C 适用于 Hp 65W 45W USB-C 笔记本电脑充电器,替换 Lenovo Thinkpad/Yoga,Dell Chromebook 3100,Latitude 5420,华硕,三星,宏碁,Google 系列 C 型电源 ord ord","7,181",Size data not available,,Price data not available,黑色//白色,Hardware interface data not available,"个人电脑, 笔记本电脑",USB,USB Type-C,Data transfer rate data not available,壁挂式,"快速充电, 短路保护, 旅行",Date first available data not available
12,https://www.amazon.com/-/zh/dp/B0B4SBR4RN/ref=zg_bs_g_pc_d_sccl_13/141-8579742-5590635?psc=1,#13,MARSDOCK,"65W Surface Pro 笔记本电脑充电器适用于 Microsoft 微软 Surface Pro 10、9、8、7+、7、6、5、4、3、X、Windows Surface Laptop 6、5、4、3、2、1、Surface Go 平板电脑、Surface Book 3、2、1、支持 44W 36W,LED, 10FT","2,093",Size data not available,,Price data not available,黑色//白色,Hardware interface data not available,,Connectivity technology data not available,MagSafe,Data transfer rate data not available,壁挂式,"快速充电, 自动关闭, 磁性, 充电指示灯, 短路保护",Date first available data not available
13,https://www.amazon.com/-/zh/dp/B09G5W9R6R/ref=zg_bs_g_pc_d_sccl_14/141-8579742-5590635?psc=1,#14,TP-Link,"TP-Link AX3000 WiFi 6 路由器 – 802.11ax 无线路由器,千兆,双频互联网路由器,VPN 路由器,OneMesh 兼容(Archer AX55)","6,613",Size data not available,,Price data not available,Color not available,Hardware interface data not available,"个人电脑, 安全摄像头, 智能手机, 游戏机, 平板电脑, 智能电视",Wi-Fi,Connector type data not available,Data transfer rate data not available,Mounting type data not available,"QoS, 访客模式, WPS, 远程访问, 互联网安全",Date first available data not available
14,https://www.amazon.com/-/zh/dp/B085VQVPJK/ref=zg_bs_g_pc_d_sccl_15/141-8579742-5590635?psc=1,#15,Brand data not available,Amazon eero 6 dual-band mesh Wi-Fi 6 extender - expands existing eero network,"5,662",Size data not available,,Price data not available,Color not available,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,Special features data not available,Date first available data not available
15,https://www.amazon.com/-/zh/dp/B08JPHHV61/ref=zg_bs_g_pc_d_sccl_16/141-8579742-5590635?psc=1,#16,SiliconV,"SiliconV 60W Mac Book Pro 充电器,替换 Mac Book Pro 13 英寸 2012-2016 视网膜显示屏 AC 60W 2 T 连接器电源适配器,笔记本电脑充电器兼容 Mac Book Pro/Mac Book Air","4,165",Size data not available,,Price data not available,Color not available,Hardware interface data not available,samsung,USB,T型笔尖,Data transfer rate data not available,T型笔尖,充电指示灯,Date first available data not available
16,https://www.amazon.com/-/zh/dp/B00NNMB3KS/ref=zg_bs_g_pc_d_sccl_17/141-8579742-5590635?psc=1,#17,havit,"havit HV-F2056 15.6""-17"" 笔记本电脑冷却垫 - 超薄便携式 USB 供电(3 个风扇),黑色/蓝色","40,588",Size data not available,,Price data not available,黑色 + 蓝色,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,Special features data not available,Date first available data not available
17,https://www.amazon.com/-/zh/dp/B09G5Y1HWZ/ref=zg_bs_g_pc_d_sccl_18/141-8579742-5590635?psc=1,#18,TP-Link,"TP-Link AC1200 WiFi 路由器 (Archer A54) - 双频无线互联网路由器,4 x 10/100 Mbps 快速以太网端口,支持访客 WiFi,接入点模式,IPv6 和家长控制","11,429",Size data not available,,Price data not available,Color not available,Hardware interface data not available,"个人电脑, 片剂, 游戏控制台, 游戏机, 笔记本电脑, 平板电脑","Wi-Fi, 以太网",Connector type data not available,Data transfer rate data not available,Mounting type data not available,接入点模式、波束形成、访客模式、互联网安全、LED 指示灯、家长控制、WPS、Wi-Fi、无线,Date first available data not available
18,https://www.amazon.com/-/zh/dp/B091G64GVK/ref=zg_bs_g_pc_d_sccl_19/141-8579742-5590635?psc=1,#19,Brand data not available,"Amazon eero Pro 6E mesh Wi-Fi router | 2.5 Gbps Ethernet | Coverage up to 2,000 sq. ft. | Connect 200+ devices | Ideal for streaming, working, and gaming | 3-Pack | 2022 release","4,262",Size data not available,,Price data not available,Color not available,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,Special features data not available,Date first available data not available
19,https://www.amazon.com/-/zh/dp/B0B1VQ1ZQY/ref=zg_bs_g_pc_d_sccl_20/141-8579742-5590635?psc=1,#20,Brand data not available,"Amazon Fire Max 11 tablet, vivid 11” display, all-in-one for streaming, reading, and gaming, 14-hour battery life, optional stylus and keyboard, 64 GB, Gray","7,057",Size data not available,,178.19,Color not available,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,Special features data not available,Date first available data not available
20,https://www.amazon.com/-/zh/dp/B08ZK2BHP2/ref=zg_bs_g_pc_d_sccl_21/141-8579742-5590635?psc=1,#21,Brand data not available,"Amazon eero 6+ mesh Wi-Fi router | 1.0 Gbps Ethernet | Coverage up to 4,500 sq. ft. | Connect 75+ devices | 3-Pack | 2022 release","6,853",Size data not available,,Price data not available,Color not available,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,Special features data not available,Date first available data not available
21,https://www.amazon.com/-/zh/dp/B07WDDS8LX/ref=zg_bs_g_pc_d_sccl_22/141-8579742-5590635?psc=1,#22,SightPro,SightPro 磁性隐私屏幕适用于 MacBook Pro 13 英寸(2016、2017、2018、2019、2020、2021、2022、M1、M2)可拆卸笔记本电脑隐私过滤罩和防眩光保护膜,"3,180",Size data not available,,29.99,Color not available,Hardware interface data not available,笔记本电脑,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,防眩光屏幕,Date first available data not available
22,https://www.amazon.com/-/zh/dp/B0CQN41Q6V/ref=zg_bs_g_pc_d_sccl_23/141-8579742-5590635?psc=1,#23,LENOVO,"LENOVO IdeaPad 1 笔记本电脑,15.6 英寸全高清显示屏,英特尔赛扬 N4500 处理器,12GB 内存,512GB 固态硬盘,SD 读卡器,数字键盘,HDMI,Wi-Fi 6,Windows 11 家庭,1 年办公室 3 年 65,灰色",103,Size data not available,,Price data not available,灰色,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,数字小键盘,Date first available data not available
23,https://www.amazon.com/-/zh/dp/B0874M3KW4/ref=zg_bs_g_pc_d_sccl_24/141-8579742-5590635?psc=1,#24,Anker,"Anker 553 USB-C 集线器,8 合 1 USB C 底座,双 4K HDMI USB C 转 USB 适配器,1 Gbps 以太网 USB 集线器,100W 功率传输,SD 读卡器适用于 MacBook Pro,XPS 等","3,798",Size data not available,,Price data not available,灰色,"USB, 乙太網路, HDMI, USB 3.0","iPad, 笔记本电脑",Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,电动的,Date first available data not available
24,https://www.amazon.com/-/zh/dp/B08X4M4LBR/ref=zg_bs_g_pc_d_sccl_25/141-8579742-5590635?psc=1,#25,Superer,Lenovo 联想 笔记本电脑充电器 - 65W 45W(UL 安全认证),"3,674",Size data not available,,Price data not available,黑色//白色,Hardware interface data not available,Lenovo 联想 笔记本电脑充电器 65W,电源线,圆形电源连接器,Data transfer rate data not available,壁挂式,"充电状态指示灯, 可折叠插头, 过度充电保护",Date first available data not available
25,https://www.amazon.com/-/zh/dp/B08PKDLBZ3/ref=zg_bs_g_pc_d_sccl_26/141-8579742-5590635?psc=1,#26,SiliconV,Mac Book Air AC 45W 电源T型接头电源适配器适用于 11 英寸和 13 英寸(2012-2017 年间),"5,044",Size data not available,,Price data not available,白色,Hardware interface data not available,笔记本电脑,T 尖,T 尖,Data transfer rate data not available,T 尖,旅行,Date first available data not available
26,https://www.amazon.com/-/zh/dp/B09644ZNLX/ref=zg_bs_g_pc_d_sccl_27/141-8579742-5590635?psc=1,#27,Aowplc,"Aowplc 50 张护士贴纸,乙烯基护理贴纸贴花适用于笔记本电脑和水瓶,护士配件","1,560",Size data not available,,Price data not available,颜色,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,防水,Date first available data not available
27,https://www.amazon.com/-/zh/dp/B09PRB1MZM/ref=zg_bs_g_pc_d_sccl_28/141-8579742-5590635?psc=1,#28,TP-Link,"TP-Link Deco AX3000 WiFi 6 网状系统(Deco X55) – 覆盖面积高达 6500 平方英尺,可替换无线路由器和扩展器,每套 3 个千兆端口,支持以太网回程(3 件装)","9,642",Size data not available,,Price data not available,Color not available,Hardware interface data not available,智能手机、个人电脑、安全摄像头、智能电视、平板电脑、打印机、游戏机,"Wi-Fi, 以太网",Connector type data not available,Data transfer rate data not available,Mounting type data not available,访客模式,Date first available data not available
28,https://www.amazon.com/-/zh/dp/B00O0M46KO/ref=zg_bs_g_pc_d_sccl_29/141-8579742-5590635?psc=1,#29,Dell,"戴尔 USB 3.0 超高清/4K 三重显示扩展坞(D3100),黑色","10,583",Size data not available,,Price data not available,黑色//白色,USB,戴尔笔记本电脑/平板电脑,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,Special features data not available,Date first available data not available
29,https://www.amazon.com/-/zh/dp/B0BS4BP8FB/ref=zg_bs_g_pc_d_sccl_30/141-8579742-5590635?psc=1,#30,acer,宏碁 Aspire 3 A315-24P-R7VH 超薄笔记本电脑 | 15.6 英寸全高清 IPS 显示屏 | AMD 锐龙 3 7320U 四核处理器 | AMD Radeon 显卡 | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 S 模式的家庭,"1,746",Size data not available,,287.99,银色,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,背光键盘,Date first available data not available
30,https://www.amazon.com/-/zh/dp/B01LXNLC7M/ref=zg_bs_g_pc_d_sccl_31/141-8579742-5590635?psc=1,#31,Nicpower,充电器适用于 Lenovo 联想 笔记本电脑、Thinkpad、瑜伽(UL 安全认证)、65W、45W、USB C 快速充电器,"3,209",Size data not available,,14.84,黑色//白色,Hardware interface data not available,Lenovo 联想 笔记本电脑充电器 65W,电源线,USB-C 头,Data transfer rate data not available,壁挂式,快速充电,Date first available data not available
31,https://www.amazon.com/-/zh/dp/B084GTH5LL/ref=zg_bs_g_pc_d_sccl_32/141-8579742-5590635?psc=1,#32,TP-Link,"TP-Link Deco Mesh WiFi 系统 (Deco S4) – 覆盖面积高达 5,500 平方英尺,可替换 WiFi 路由器和扩展器,千兆端口,与 Alexa 配合使用,3 件装","27,649",Size data not available,,Price data not available,Color not available,Hardware interface data not available,所有支持 WiFi 的设备,"Wi-Fi, 以太网",Connector type data not available,Data transfer rate data not available,Mounting type data not available,"兼容 Alexa, 家长控制, 访客模式",Date first available data not available
32,https://www.amazon.com/-/zh/dp/B0BD2ZX7H6/ref=zg_bs_g_pc_d_sccl_33/141-8579742-5590635?psc=1,#33,Generic,"50 张卡通贴纸彩色美学 VSCO 乙烯基/PVC 防水贴花,适用于水瓶、水壶、吉他、行李、手机、保护套、笔记本电脑、滑板、儿童、青少年、男孩和女孩的礼物(蓝色)","1,260",Size data not available,,Price data not available,多彩,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,可拆卸,Date first available data not available
33,https://www.amazon.com/-/zh/dp/B07MGTL6L9/ref=zg_bs_g_pc_d_sccl_34/141-8579742-5590635?psc=1,#34,SKSTYLE,"45W 19.5V 2.31A 适用于 HP 笔记本电脑充电器蓝色提示,HP Pavilion x360 11 13 15,Zbook 14u G4 G5 15u 15 G3,笔记本电脑 15,HP Stream 13 11 14 AC 适配器带电源 ord ord","5,477",Size data not available,,Price data not available,Color not available,Hardware interface data not available,笔记本电脑,Connectivity technology data not available,3 针,Data transfer rate data not available,壁挂式,"快速充电, 短路保护, 旅行",Date first available data not available
34,https://www.amazon.com/-/zh/dp/B0B3SQK74L/ref=zg_bs_g_pc_d_sccl_35/141-8579742-5590635?psc=1,#35,TP-Link,"TP-Link AXE5400 三频 WiFi 6E 路由器 (Archer AXE75) - 千兆无线互联网路由器,用于游戏的 ax 路由器,VPN 路由器,OneMesh,WPA3","2,027",Size data not available,,Price data not available,黑色//白色,Hardware interface data not available,个人电脑、智能手机、游戏机、平板电脑、智能电视、打印机、监控摄像头、智能温控器,"Wi-Fi, USB, 以太网",Connector type data not available,Data transfer rate data not available,Mounting type data not available,"WPS,互联网安全,LED指示灯,Alexa兼容,家长控制,QoS,波束形成",Date first available data not available
35,https://www.amazon.com/-/zh/dp/B07V3JYVQH/ref=zg_bs_g_pc_d_sccl_36/141-8579742-5590635?psc=1,#36,Ostrich,适用于 Lenovo 联想 笔记本电脑 65W 45W 圆头电源适配器 AC 适配器 适用于 Lenovo 联想 IdeaPad 330-14、330-15、330-17、510-15、330s-14、330s-15 Lenovo Flex 6 -14 升 aptop 充电器,"7,072",Size data not available,,Price data not available,Color not available,Hardware interface data not available,,USB,圆筒连接器,Data transfer rate data not available,壁挂式,"过热保护, LED 指示灯, 短路保护, 轻质, 轻盈",Date first available data not available
36,https://www.amazon.com/-/zh/dp/B09BG63ZMM/ref=zg_bs_g_pc_d_sccl_37/141-8579742-5590635?psc=1,#37,Brand data not available,"Amazon Fire HD 8 Kids Pro tablet- 2022, ages 6-12 | 8"" HD screen, slim case for older kids, ad-free content, parental controls, 13-hr battery, 32 GB, Rainbow Universe","6,927",Size data not available,,Price data not available,Color not available,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,Special features data not available,Date first available data not available
37,https://www.amazon.com/-/zh/dp/B0BLGS645W/ref=zg_bs_g_pc_d_sccl_38/141-8579742-5590635?psc=1,#38,Brand data not available,"Amazon Fire HD 8 Kids tablet, ages 3-7. Top-selling 8"" kids tablet on Amazon - 2022 | ad-free content with parental controls included, 13-hr battery, 32 GB, Blue","7,254",Size data not available,,Price data not available,Color not available,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,Special features data not available,Date first available data not available
38,https://www.amazon.com/-/zh/dp/B0BL5WZ6HF/ref=zg_bs_g_pc_d_sccl_39/141-8579742-5590635?psc=1,#39,Brand data not available,"Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, latest model (2023 release), 32 GB, Lilac","6,843",Size data not available,,118.99,Color not available,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,Special features data not available,Date first available data not available
39,https://www.amazon.com/-/zh/dp/B0BL5XPDR6/ref=zg_bs_g_pc_d_sccl_40/141-8579742-5590635?psc=1,#40,Brand data not available,"Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, latest model (2023 release), 32 GB, Ocean","6,843",Size data not available,,118.99,Color not available,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,Special features data not available,Date first available data not available
40,https://www.amazon.com/-/zh/dp/B07TVHM47L/ref=zg_bs_g_pc_d_sccl_41/141-8579742-5590635?psc=1,#41,Ostrich,戴尔笔记本电脑充电器 65W 45W 圆头电源适配器,"1,950",Size data not available,,Price data not available,戴尔 45W,Hardware interface data not available,Dell 戴尔笔记本电脑充电器 65W 45W,Connectivity technology data not available,圆筒连接器,Data transfer rate data not available,壁挂式,快速充电,Date first available data not available
41,https://www.amazon.com/-/zh/dp/B09N72FMH5/ref=zg_bs_g_pc_d_sccl_42/141-8579742-5590635?psc=1,#42,GL.iNet,GL.iNet GL-SFT1200(蛋白石)安全旅行 WiFi 路由器 - AC1200 双频千兆以太网无线互联网 | IPv6 USB 2.0 MU-MIMO DDR3 |128MB RAM 中继器桥接接入点模式,"2,589",Size data not available,,Price data not available,猫眼石,Hardware interface data not available,"个人电脑, 安全摄像头, 智能手机, 游戏机, 平板电脑","Wi-Fi, USB, 以太网",Connector type data not available,Data transfer rate data not available,Mounting type data not available,"接入点模式, 互联网安全",Date first available data not available
42,https://www.amazon.com/-/zh/dp/B09MRY4PBS/ref=zg_bs_g_pc_d_sccl_43/141-8579742-5590635?psc=1,#43,NELEBUTO,"45W USB C Chromebook 充电器替换件兼容惠普、戴尔、联想、宏碁、华硕、三星、Google Type C 笔记本电脑充电器,HP Chromebook X360 11 13 14 14A HP Spectre X360 13 E 精简版 X2 P ower 电源线",980,Size data not available,,Price data not available,45W,Hardware interface data not available,笔记本电脑,USB,USB,Data transfer rate data not available,壁挂式,快速充电,Date first available data not available
43,https://www.amazon.com/-/zh/dp/B09BVKYWJ5/ref=zg_bs_g_pc_d_sccl_44/141-8579742-5590635?psc=1,#44,NSPENCM,"NSPENCM 85W Mac Book Pro 充电器,替换 AC 85w 2T 型接头电源适配器,笔记本电脑充电器兼容 MacBook Pro 和 Mac Book Air 13-15 英寸 Retina 2012 年中期后","3,752",Size data not available,,Price data not available,白色,Hardware interface data not available,Mac Book pro 13 英寸 - 15 英寸 & Mac book Air 13 英寸 2012 年中后,接口,5 个磁性,Data transfer rate data not available,Wall Mount,磁性的,Date first available data not available
44,https://www.amazon.com/-/zh/dp/B0B71BYJZ4/ref=zg_bs_g_pc_d_sccl_45/141-8579742-5590635?psc=1,#45,DECSZDY,45W USB-C Chromebook 充电器适用于 HP Chromebook X360 14 14-ca051wm 14-ca052wm 14-ca091wm ca061dx 14-ca060nr 14-ca020nr 14-ca020nr 14-ca043cl USB C 电源适配器,"1,021",Size data not available,,Price data not available,Color not available,Hardware interface data not available,笔记本电脑,USB,USB,Data transfer rate data not available,壁挂式,快速充电，快速充电,Date first available data not available
45,https://www.amazon.com/-/zh/dp/B0BL5C43SL/ref=zg_bs_g_pc_d_sccl_46/141-8579742-5590635?psc=1,#46,Brand data not available,"Amazon Fire HD 10 Kids Pro tablet- 2023, ages 6-12 | Bright 10.1"" HD screen | Slim case for older kids, ad-free content, parental controls, 13-hr battery, 32 GB, Happy Day","1,742",Size data not available,,Price data not available,Color not available,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,Special features data not available,Date first available data not available
46,https://www.amazon.com/-/zh/dp/B07R8M3VY5/ref=zg_bs_g_pc_d_sccl_1/141-8579742-5590635?psc=1,#51,Dell,"新款戴尔原装笔记本电脑充电器 65W 瓦 4.5mm 尖端交流电源适配器(电源)带电源线适用于 Inspiron 13 14 15,3000 5000 7000 系列,5558 5755 3147 7348 -2合1 5555 559,0G6j41 0MGJN","3,959",Size data not available,,Price data not available,Color not available,Hardware interface data not available,笔记本电脑,连接器尺寸:4.5mm 尖端,圆筒连接器,Data transfer rate data not available,壁挂式,旅行,Date first available data not available
47,https://www.amazon.com/-/zh/dp/B0B2J7WSDK/ref=zg_bs_g_pc_d_sccl_2/141-8579742-5590635?psc=1,#52,GL.iNet,"GL.iNet GL-AXT1800(Slate AX)袖珍型 Wi-Fi 6 千兆旅行路由器,酒店和公共网络存储的扩展器/中继器,VPN 客户端和服务器,OpenWrt,Adguard Home,USB 3.0,TF 卡 插槽插槽","1,615",Size data not available,,Price data not available,Color not available,Hardware interface data not available,个人电脑,Wi-Fi,Connector type data not available,Data transfer rate data not available,Mounting type data not available,"QoS, 访客模式",Date first available data not available
48,https://www.amazon.com/-/zh/dp/B0BW6677R3/ref=zg_bs_g_pc_d_sccl_3/141-8579742-5590635?psc=1,#53,NIUKOY,"100 张卡哇伊贴纸,动漫贴纸,Helllokittty 贴纸 MyMelody&Kuromi 可爱贴纸包儿童防水贴纸美学乙烯基贴纸,青少年女孩儿童滑板贴纸",476,Size data not available,,Price data not available,Color not available,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,防水,Date first available data not available
49,https://www.amazon.com/-/zh/dp/B0C23WY7DM/ref=zg_bs_g_pc_d_sccl_4/141-8579742-5590635?psc=1,#54,YURCIPWE,"Surface Pro 充电器 65W,Surface 笔记本电脑充电器适用于 Microsoft Surface Pro 9/8/7+/7/6/5/4/3/3/X,Surface Laptop 5/4/3/2/1/Studio,Surface Book 2/1,Surface Go 3/2/1 7米功率7米7米电线",636,Size data not available,,Price data not available,黑色//白色,Hardware interface data not available,笔记本电脑,USB,USB,Data transfer rate data not available,壁挂式,"快速充电, 磁性, 旅行, 短路保护",Date first available data not available
50,https://www.amazon.com/-/zh/dp/B0BPSGJN7T/ref=zg_bs_g_pc_d_sccl_5/141-8579742-5590635?psc=1,#55,GL.iNet,"GL.iNet GL-MT3000 (Beryl AX) 袖珍型 Wi-Fi 6 无线旅行千兆路由器 | WiFi 路由器 | OpenVPN,电线保护,连接到公共和酒店 Wi-Fi 登录页面,RV","1,396",Size data not available,,Price data not available,Color not available,Hardware interface data not available,打印机,以太网,Connector type data not available,Data transfer rate data not available,Mounting type data not available,"QoS, 接入点模式, 访客模式",Date first available data not available
51,https://www.amazon.com/-/zh/dp/B09NC734FV/ref=zg_bs_g_pc_d_sccl_6/141-8579742-5590635?psc=1,#56,CAKOLINK,"CAKOLINK 复古美学贴纸 50 张,乙烯基防水贴纸水瓶笔记本电脑手机电脑吉他 (1)","1,859",Size data not available,,Price data not available,1,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,防水,Date first available data not available
